majority,minority
りんご,なし
犬,猫
うどん,そば
温泉,プール
焼肉,すき焼き
コーヒー,紅茶
夏,冬
きのこの山,たけのこの里
ディズニーランド,USJ
ドラえもん,クレヨンしんちゃん
サッカー,野球
ピアノ,バイオリン
海,山
おにぎり,サンドイッチ
スマホ,パソコン
映画,ドラマ
マクドナルド,モスバーガー
醤油,ソース
ご飯,パン
金魚,めだか
メガネ,コンタクトレンズ
ひらがな,カタカナ
東京タワー,スカイツリー
ライオン,チーター
飛行機,ヘリコプター
水族館,動物園
ネックレス,ブレスレット
障子,ふすま
お吸い物,味噌汁
新幹線,特急
ハンバーガー,サンドイッチ
エレベーター,エスカレーター
大学,専門学校
小説,漫画
電気,ガス
メール,チャット
ソフトクリーム,かき氷
スープ,シチュー
クリスマス,バレンタイン
こどもの日,ひな祭り
スキー,スノーボード
ウォーキング,ジョギング
公園,遊園地
浴槽,シンク
シチュー,カレー
キャラメル,チョコレート
カンガルー,コアラ
テニス,卓球
ベッド,布団
冬休み,春休み
鉛筆,シャープペンシル
マヨネーズ,ケチャップ
塩,胡椒
砂糖,塩
太陽,月
朝,夜
過去,未来
物理,化学
数学,算数
英語,国語
